Time,Tgas
0,2075.332233
0.03,2198.351088
0.06,2053.445251
0.09,2043.924094
0.12,2078.986942
0.15,2053.559349
0.18,2043.940674
0.21,2083.217583
0.24,2067.431187
0.27,2149.600175
0.3,2193.005134
0.33,2180.257957
0.36,2084.919157
0.39,2069.74353
0.42,2177.112622
0.45,2147.482504
0.48,2119.463817
0.51,2022.88338
0.54,2131.168909
0.57,2068.55537
0.6,2014.968354
0.63,2094.981139
0.66,2035.771685
0.69,2013.106409
0.72,2167.055676
0.75,2147.890335
0.78,2131.763132
0.81,2033.976745
0.84,2030.963689
0.87,2090.686454
0.9,2142.166655
0.93,2081.182018
0.96,2092.621854
0.99,2021.006902
1.02,2199.651878
1.05,2054.061124
1.08,2054.677288
1.11,2127.763486
1.14,2197.375772
1.17,2014.683454
1.2,2002.886754
1.23,2038.60181
1.26,2151.158525
1.29,2112.076609
1.32,2140.033724
1.35,2176.616495
1.38,2111.183163
1.41,2165.223117
1.44,2194.772205
1.47,2005.074798
1.5,2024.954173
1.53,2103.111012
1.56,2089.426404
1.59,2128.863322
1.62,2126.313184
1.65,2076.919862
1.68,2015.533993
1.71,2064.197126
1.74,2184.893342
1.77,2104.121218
1.8,2193.198951
1.83,2098.410048
1.86,2184.39504
1.89,2136.786088
1.92,2091.754402
1.95,2086.698909
1.98,2037.861835
2.01,2171.044605
2.04,2020.835129
2.07,2187.173184
2.1,2196.022288
2.13,2094.554338
2.16,2096.609146
2.19,2038.828473
2.22,2133.891339
2.25,2031.526068
2.28,2094.085223
2.31,2151.444959
2.34,2096.197933
2.37,2000.059043
2.4,2035.697302
2.43,2026.876932
2.46,2187.516848
2.49,2132.391476
2.52,2013.328739
2.55,2093.558729
2.58,2051.771649
2.61,2028.857795
2.64,2114.055134
2.67,2112.032933
2.7,2188.752978
2.73,2114.683357
2.76,2015.607497
2.79,2151.912451
2.82,2159.474622
2.85,2093.282273
2.88,2024.677092
2.91,2127.962352
2.94,2026.723734
2.97,2176.802299
3,2078.643579
3.03,2166.678328
3.06,2089.208138
3.09,2100.768999
3.12,2196.725052
3.15,2032.263239
3.18,2121.871231
3.21,2162.500503
3.24,2146.08192
3.27,2076.184533
3.3,2175.061793
3.33,2054.777303
3.36,2170.349013
3.39,2120.125054
3.42,2001.118989
3.45,2013.356744
3.48,2015.621692
3.51,2174.319319
3.54,2077.552693
3.57,2073.088987
3.6,2124.831357
3.63,2115.763901
3.66,2177.943558
3.69,2032.959178
3.72,2146.925951
3.75,2142.059999
3.78,2065.896335
3.81,2185.221167
3.84,2027.265391
3.87,2175.625304
3.9,2172.762371
