Time,Twall
0,1791.853734
0.03,1602.302602
0.06,1781.321298
0.09,1733.726044
0.12,1731.126895
0.15,1798.776369
0.18,1679.080986
0.21,1640.33152
0.24,1667.371597
0.27,1611.607592
0.3,1662.81703
0.33,1631.650692
0.36,1762.069913
0.39,1785.454897
0.42,1743.983443
0.45,1622.415124
0.48,1646.452425
0.51,1776.894857
0.54,1631.502041
0.57,1609.484285
0.6,1789.893961
0.63,1638.448009
0.66,1642.931944
0.69,1763.63375
0.72,1736.595161
0.75,1652.678144
0.78,1698.59299
0.81,1775.58017
0.84,1798.098594
0.87,1783.738896
0.9,1710.297523
0.93,1662.49301
0.96,1614.5147
0.99,1616.725517
1.02,1677.143274
1.05,1607.562483
1.08,1665.823626
1.11,1771.524764
1.14,1616.900199
1.17,1652.201009
1.2,1770.418107
1.23,1608.453846
1.26,1654.997274
1.29,1677.587747
1.32,1633.742902
1.35,1779.028421
1.38,1642.844683
1.41,1659.508725
1.44,1783.604478
1.47,1781.922772
1.5,1692.180297
1.53,1684.057032
1.56,1637.179717
1.59,1692.875566
1.62,1757.745162
1.65,1776.746237
1.68,1745.597417
1.71,1679.907337
1.74,1626.703482
1.77,1634.398689
1.8,1752.094141
1.83,1662.449569
1.86,1650.160796
1.89,1792.761695
1.92,1631.032559
1.95,1700.880336
1.98,1706.218345
2.01,1620.464929
2.04,1778.992582
2.07,1741.563532
2.1,1720.016407
2.13,1725.797303
2.16,1697.005421
2.19,1775.8376
2.22,1709.623688
2.25,1635.299066
2.28,1623.683733
2.31,1639.422969
2.34,1708.510353
2.37,1614.880827
2.4,1652.986325
2.43,1661.244319
2.46,1678.533086
2.49,1780.425323
2.52,1741.842237
2.55,1689.361294
2.58,1658.205951
2.61,1630.889576
2.64,1618.425345
2.67,1600.382385
2.7,1735.585502
2.73,1659.261626
2.76,1695.296248
2.79,1637.538462
2.82,1750.754865
2.85,1770.533698
2.88,1787.024963
2.91,1781.07518
2.94,1767.969957
2.97,1622.559165
3,1788.679979
3.03,1789.937949
3.06,1780.413603
3.09,1616.997181
3.12,1779.039427
3.15,1760.874401
3.18,1758.64151
3.21,1686.663595
3.24,1607.163152
3.27,1624.443754
3.3,1608.052346
3.33,1785.952227
3.36,1641.644732
3.39,1744.477719
3.42,1764.053295
3.45,1754.730386
3.48,1663.615083
3.51,1639.368884
3.54,1745.801445
3.57,1728.253576
3.6,1722.5613
3.63,1717.115807
3.66,1639.92624
3.69,1654.67836
3.72,1690.387027
3.75,1609.655992
3.78,1700.818579
3.81,1738.406094
3.84,1783.818896
3.87,1781.018156
3.9,1623.510173
3.93,1752.960214
3.96,1602.132229
3.99,1742.984439
4.02,1710.18574
4.05,1780.297443
4.08,1617.145506
4.11,1784.882827
4.14,1607.051084
4.17,1709.333465
4.2,1769.714706
4.23,1718.274662
4.26,1744.146829
4.29,1760.188397
4.32,1705.102923
4.35,1607.913702
4.38,1770.374962
4.41,1673.330986
4.44,1759.243956
4.47,1730.295033
4.5,1605.406638
4.53,1705.576785
4.56,1759.945194
4.59,1793.316096
4.62,1773.95762
4.65,1686.451894
4.68,1739.05885
4.71,1736.956733
4.74,1601.520055
4.77,1736.188732
4.8,1645.287998
4.83,1608.489041
4.86,1710.387058
4.89,1608.963802
4.92,1724.733809
4.95,1744.348841
4.98,1723.350563
5.01,1740.684154
5.04,1708.092967
5.07,1628.943069
5.1,1717.371877
5.13,1675.631901
5.16,1749.091606
5.19,1652.451438
5.22,1718.491271
5.25,1668.368072
5.28,1643.638159
5.31,1741.454757
5.34,1743.746275
5.37,1704.216514
5.4,1698.946741
5.43,1617.650662
5.46,1620.984149
5.49,1706.661817
5.52,1792.438044
5.55,1734.440343
5.58,1676.319517
5.61,1678.762636
5.64,1640.42709
5.67,1647.953797
5.7,1661.95145
5.73,1796.992199
5.76,1620.619891
5.79,1650.100936
5.82,1657.725275
5.85,1761.62028
5.88,1611.874614
5.91,1649.151898
5.94,1761.448098
5.97,1760.001913
6,1772.361902
6.03,1608.923957
6.06,1612.941756
6.09,1672.784822
6.12,1762.464863
6.15,1608.320665
6.18,1690.143385
6.21,1681.013066
6.24,1799.467712
6.27,1771.34696
6.3,1764.891083
6.33,1797.881748
6.36,1613.20797
6.39,1677.669387
6.42,1606.767099
6.45,1755.637452
6.48,1761.329045
6.51,1622.998347
6.54,1734.36126
6.57,1743.728741
6.6,1638.320929
6.63,1775.636216
6.66,1684.504789
6.69,1603.202116
6.72,1624.47783
6.75,1769.020017
6.78,1650.612324
6.81,1644.790506
6.84,1686.832164
6.87,1775.529218
6.9,1750.984225
6.93,1754.875123
6.96,1600.704525
6.99,1686.041924
7.02,1602.710091
7.05,1767.969458
7.08,1640.116156
7.11,1671.136683
7.14,1761.395285
7.17,1657.95116
7.2,1797.56804
7.23,1699.477845
7.26,1615.526607
7.29,1754.802132
7.32,1769.577714
7.35,1669.320455
7.38,1608.375158
7.41,1654.595107
7.44,1623.973492
7.47,1649.92816
7.5,1783.696362
7.53,1638.345913
7.56,1778.790665
7.59,1725.29223
7.62,1778.849835
7.65,1688.580801
7.68,1715.556368
7.71,1736.550991
7.74,1771.819136
7.77,1694.174408
7.8,1651.066537
7.83,1660.810667
7.86,1717.663473
7.89,1669.685076
7.92,1718.350828
7.95,1792.112246
7.98,1605.45821
8.01,1758.134308
8.04,1609.858429
8.07,1767.331911
8.1,1781.037193
8.13,1687.628175
8.16,1731.775224
8.19,1695.220705
8.22,1639.294561
8.25,1763.794452
8.28,1690.2843
8.31,1662.806944
8.34,1747.945839
8.37,1701.709883
8.4,1623.773868
8.43,1621.208065
8.46,1691.650439
8.49,1785.648089
8.52,1735.492938
8.55,1761.451437
8.58,1704.451069
8.61,1754.988678
8.64,1684.133931
8.67,1671.710483
8.7,1619.963909
8.73,1718.219819
8.76,1656.184691
8.79,1642.902943
8.82,1770.303126
8.85,1623.76472
8.88,1705.947528
8.91,1755.277161
8.94,1663.661171
8.97,1676.834116
9,1663.001145
9.03,1799.004862
9.06,1663.649366
9.09,1768.599171
9.12,1677.836205
9.15,1734.341898
9.18,1757.159912
9.21,1752.986352
9.24,1613.775168
9.27,1779.824038
9.3,1742.754768
9.33,1723.79583
9.36,1772.032764
9.39,1715.504331
9.42,1706.957885
9.45,1747.412055
9.48,1621.782376
9.51,1692.001332
9.54,1675.828745
9.57,1759.933873
9.6,1745.437156
9.63,1771.391647
9.66,1749.647142
9.69,1779.111203
9.72,1731.022191
9.75,1609.877033
9.78,1672.926097
9.81,1714.68323
9.84,1703.90395
9.87,1785.487296
9.9,1691.025923
9.93,1687.503007
9.96,1797.922423
9.99,1724.715501
10.02,1609.109588
10.05,1667.367474
10.08,1760.123836
10.11,1720.981057
10.14,1665.611269
10.17,1733.033849
10.2,1636.108186
10.23,1697.077088
10.26,1621.740863
10.29,1775.136329
10.32,1610.220411
10.35,1628.766501
10.38,1797.36917
10.41,1629.212988
10.44,1723.390713
10.47,1749.507259
10.5,1678.621887
10.53,1658.982071
10.56,1776.168668
10.59,1619.057819
10.62,1731.947068
10.65,1702.342344
10.68,1663.610249
10.71,1616.789652
10.74,1793.757401
10.77,1763.474674
10.8,1674.313331
10.83,1701.782481
10.86,1695.033666
10.89,1718.006214
10.92,1754.60016
10.95,1745.966162
10.98,1742.966667
11.01,1782.386577
11.04,1600.433137
11.07,1711.039299
11.1,1724.249498
11.13,1607.230734
11.16,1601.434214
11.19,1671.048052
11.22,1777.08933
11.25,1740.689448
11.28,1752.99189
11.31,1700.281119
11.34,1755.910445
11.37,1650.004379
11.4,1647.668052
11.43,1761.621897
11.46,1771.075528
11.49,1748.72704
11.52,1675.834776
11.55,1732.537585
11.58,1783.08582
11.61,1712.9624
11.64,1672.061575
11.67,1760.013193
11.7,1754.778705
11.73,1763.559255
11.76,1780.503953
11.79,1717.11111
11.82,1783.496586
11.85,1623.695021
11.88,1696.656788
11.91,1796.816182
11.94,1700.401208
11.97,1713.955675
12,1715.435074
12.03,1688.375694
12.06,1779.459906
12.09,1725.992336
12.12,1642.01193
12.15,1793.372012
12.18,1678.445901
12.21,1654.00999
12.24,1662.107393
12.27,1613.014135
12.3,1650.400562
12.33,1683.512396
12.36,1601.730221
12.39,1698.817047
12.42,1779.449477
12.45,1747.690531
12.48,1648.219015
12.51,1713.943218
12.54,1779.175752
12.57,1688.974019
12.6,1756.9191
12.63,1707.484761
12.66,1724.700918
12.69,1751.351589
12.72,1618.064242
12.75,1603.662469
12.78,1703.242547
12.81,1771.332136
12.84,1611.884467
12.87,1622.426631
12.9,1756.800887
12.93,1656.718093
12.96,1713.517451
12.99,1784.295042
13.02,1756.175672
13.05,1682.807869
13.08,1636.133743
13.11,1796.142548
13.14,1669.311483
13.17,1717.595578
13.2,1674.72243
13.23,1708.649498
13.26,1699.82097
13.29,1715.914568
13.32,1787.091964
13.35,1773.943602
13.38,1623.14556
13.41,1726.805216
13.44,1690.507594
13.47,1738.326095
13.5,1676.186961
13.53,1639.08413
13.56,1710.943718
13.59,1644.572087
13.62,1761.63663
13.65,1769.0061
13.68,1698.291844
13.71,1621.531164
13.74,1648.076721
13.77,1795.667316
13.8,1699.70432
13.83,1761.944532
13.86,1664.73856
13.89,1613.846845
13.92,1701.628402
13.95,1772.183113
13.98,1698.242403
14.01,1679.072978
14.04,1608.498348
14.07,1740.249102
14.1,1780.942503
14.13,1730.813905
14.16,1684.422798
14.19,1681.526828
14.22,1706.224761
14.25,1787.356401
14.28,1667.194754
14.31,1603.5661
14.34,1783.277666
14.37,1782.930429
14.4,1769.077756
14.43,1649.742301
14.46,1601.559527
