Time (s),Heat Flux (W/m^2)
0,2.02627E-07
2.77778E-05,2.88857E-07
5.55556E-05,4.10972E-07
8.33333E-05,5.83557E-07
0.000111111,8.26984E-07
0.000138889,1.16964E-06
0.000166667,1.65101E-06
0.000194444,2.32589E-06
0.000222222,3.27018E-06
0.00025,4.58876E-06
0.000277778,6.42631E-06
0.000305556,8.98193E-06
0.000333333,1.25291E-05
0.000361111,1.74427E-05
0.000388889,2.42352E-05
0.000416667,3.36065E-05
0.000444444,4.65096E-05
0.000472222,6.42398E-05
0.0005,8.85538E-05
0.000527778,0.000121829
0.000555556,0.000167278
0.000583333,0.000229229
0.000611111,0.000313503
0.000638889,0.000427912
0.000666667,0.000582923
0.000694444,0.000792518
0.000722222,0.001075348
0.00075,0.001456235
0.000777778,0.00196814
0.000805556,0.002654744
0.000833333,0.00357381
0.000861111,0.004801561
0.000888889,0.006438363
0.000916667,0.008616098
0.000944444,0.011507685
0.000972222,0.015339366
0.001,0.020406522
0.001027778,0.027093974
0.001055556,0.035901994
0.001083333,0.047479546
0.001111111,0.062666679
0.001138889,0.082548452
0.001166667,0.108523384
0.001194444,0.142390119
0.001222222,0.186456923
0.00125,0.243679676
0.001277778,0.317835379
0.001305556,0.413739801
0.001333333,0.53751984
0.001361111,0.696953544
0.001388889,0.901893583
0.001416667,1.164793391
0.001444444,1.501359281
0.001472222,1.931356753
0.0015,2.479605017
0.001527778,3.177200664
0.001555556,4.063019599
0.001583333,5.185555946
0.001611111,6.605167958
0.001638889,8.396814155
0.001666667,10.65337835
0.001694444,13.48970013
0.001722222,17.04744799
0.00175,21.50099644
0.001777778,27.06449543
0.001805556,34.00035226
0.001833333,42.62938161
0.001861111,53.34291974
0.001888889,66.61724498
0.001916667,83.03069771
0.001944444,103.2839505
0.001972222,128.2239433
0.002,158.8720689
0.002027778,196.4572714
0.002055556,242.4548069
0.002083333,298.6315058
0.002111111,367.098478
0.002138889,450.3723067
0.002166667,551.4458928
0.002194444,673.8702277
0.002222222,821.848499
0.00225,1000.34406
0.002277778,1215.203925
0.002305556,1473.299576
0.002333333,1782.687004
0.002361111,2152.788017
0.002388889,2594.594963
0.002416667,3120.901115
0.002444444,3746.559036
0.002472222,4488.769313
0.0025,5367.402046
0.002527778,6405.353497
0.002555556,7628.940222
0.002583333,9068.33292
0.002611111,10758.03205
0.002638889,12737.38706
0.002666667,15051.16072
0.002694444,17750.13966
0.002722222,20891.79184
0.00275,24540.97087
0.002777778,28770.66659
0.002805556,33662.80047
0.002833333,39309.06337
0.002861111,45811.79231
0.002888889,53284.88158
0.002916667,61854.72223
0.002944444,71661.16288
0.002972222,82858.48268
0.003,95616.36632
0.003027778,110120.8687
0.003055556,126575.3557
0.003083333,145201.4051
0.003111111,166239.6498
0.003138889,189950.546
0.003166667,216615.0422
0.003194444,246535.1291
0.003222222,280034.2459
0.00325,317457.5159
0.003277778,359171.7877
0.003305556,405565.4527
0.003333333,457048.0126
0.003361111,514049.3692
0.003388889,577018.8099
0.003416667,646423.662
0.003444444,722747.593
0.003472222,806488.5338
0.0035,898156.2053
0.003527778,998269.2341
0.003555556,1107351.843
0.003583333,1225930.115
0.003611111,1354527.818
0.003638889,1493661.813
0.003666667,1643837.038
0.003694444,1805541.103
0.003722222,1979238.508
0.00375,2165364.532
0.003777778,2364318.824
0.003805556,2576458.761
0.003833333,2802092.614
0.003861111,3041472.608
0.003888889,3294787.943
0.003916667,3562157.854
0.003944444,3843624.812
0.003972222,4139147.947
0.004,4448596.807
0.004027778,4771745.539
0.004055556,5108267.61
0.004083333,5457731.17
0.004111111,5819595.15
0.004138889,6193206.217
0.004166667,6577796.648
0.004194444,6972483.25
0.004222222,7376267.373
0.00425,7788036.095
0.004277778,8206564.652
0.004305556,8630520.116
0.004333333,9058466.392
0.004361111,9488870.509
0.004388889,9920110.208
0.004416667,10350482.81
0.004444444,10778215.29
0.004472222,11201475.52
0.0045,11618384.59
0.004527778,12027030.08
0.004555556,12425480.16
0.004583333,12811798.45
0.004611111,13184059.36
0.004638889,13540363.89
0.004666667,13878855.57
0.004694444,14197736.48
0.004722222,14495283.06
0.00475,14769861.54
0.004777778,15019942.91
0.004805556,15244117.04
0.004833333,15441105.88
0.004861111,15609775.68
0.004888889,15749147.76
0.004916667,15858408.01
0.004944444,15936914.82
0.004972222,15984205.33
0.005,16000000
0.005027778,15984205.33
0.005055556,15936914.82
0.005083333,15858408.01
0.005111111,15749147.76
0.005138889,15609775.68
0.005166667,15441105.88
0.005194444,15244117.04
0.005222222,15019942.91
0.00525,14769861.54
0.005277778,14495283.06
0.005305556,14197736.48
0.005333333,13878855.57
0.005361111,13540363.89
0.005388889,13184059.36
0.005416667,12811798.45
0.005444444,12425480.16
0.005472222,12027030.08
0.0055,11618384.59
0.005527778,11201475.52
0.005555556,10778215.29
0.005583333,10350482.81
0.005611111,9920110.208
0.005638889,9488870.509
0.005666667,9058466.392
0.005694444,8630520.116
0.005722222,8206564.652
0.00575,7788036.095
0.005777778,7376267.373
0.005805556,6972483.25
0.005833333,6577796.648
0.005861111,6193206.217
0.005888889,5819595.15
0.005916667,5457731.17
0.005944444,5108267.61
0.005972222,4771745.539
0.006,4448596.807
0.006027778,4139147.947
0.006055556,3843624.812
0.006083333,3562157.854
0.006111111,3294787.943
0.006138889,3041472.608
0.006166667,2802092.614
0.006194444,2576458.761
0.006222222,2364318.824
0.00625,2165364.532
0.006277778,1979238.508
0.006305556,1805541.103
0.006333333,1643837.038
0.006361111,1493661.813
0.006388889,1354527.818
0.006416667,1225930.115
0.006444444,1107351.843
0.006472222,998269.2341
0.0065,898156.2053
0.006527778,806488.5338
0.006555556,722747.593
0.006583333,646423.662
0.006611111,577018.8099
0.006638889,514049.3692
0.006666667,457048.0126
0.006694444,405565.4527
0.006722222,359171.7877
0.00675,317457.5159
0.006777778,280034.2459
0.006805556,246535.1291
0.006833333,216615.0422
0.006861111,189950.546
0.006888889,166239.6498
0.006916667,145201.4051
0.006944444,126575.3557
0.006972222,110120.8687
0.007,95616.36632
0.007027778,82858.48268
0.007055556,71661.16288
0.007083333,61854.72223
0.007111111,53284.88158
0.007138889,45811.79231
0.007166667,39309.06337
0.007194444,33662.80047
0.007222222,28770.66659
0.00725,24540.97087
0.007277778,20891.79184
0.007305556,17750.13966
0.007333333,15051.16072
0.007361111,12737.38706
0.007388889,10758.03205
0.007416667,9068.33292
0.007444444,7628.940222
0.007472222,6405.353497
0.0075,5367.402046
0.007527778,4488.769313
0.007555556,3746.559036
0.007583333,3120.901115
0.007611111,2594.594963
0.007638889,2152.788017
0.007666667,1782.687004
0.007694444,1473.299576
0.007722222,1215.203925
0.00775,1000.34406
0.007777778,821.848499
0.007805556,673.8702277
0.007833333,551.4458928
0.007861111,450.3723067
0.007888889,367.098478
0.007916667,298.6315058
0.007944444,242.4548069
0.007972222,196.4572714
0.008,158.8720689
0.008027778,128.2239433
0.008055556,103.2839505
0.008083333,83.03069771
0.008111111,66.61724498
0.008138889,53.34291974
0.008166667,42.62938161
0.008194444,34.00035226
0.008222222,27.06449543
0.00825,21.50099644
0.008277778,17.04744799
0.008305556,13.48970013
0.008333333,10.65337835
0.008361111,8.396814155
0.008388889,6.605167958
0.008416667,5.185555946
0.008444444,4.063019599
0.008472222,3.177200664
0.0085,2.479605017
0.008527778,1.931356753
0.008555556,1.501359281
0.008583333,1.164793391
0.008611111,0.901893583
0.008638889,0.696953544
0.008666667,0.53751984
0.008694444,0.413739801
0.008722222,0.317835379
0.00875,0.243679676
0.008777778,0.186456923
0.008805556,0.142390119
0.008833333,0.108523384
0.008861111,0.082548452
0.008888889,0.062666679
0.008916667,0.047479546
0.008944444,0.035901994
0.008972222,0.027093974
0.009,0.020406522
0.009027778,0.015339366
0.009055556,0.011507685
0.009083333,0.008616098
0.009111111,0.006438363
0.009138889,0.004801561
0.009166667,0.00357381
0.009194444,0.002654744
0.009222222,0.00196814
0.00925,0.001456235
0.009277778,0.001075348
0.009305556,0.000792518
0.009333333,0.000582923
0.009361111,0.000427912
0.009388889,0.000313503
0.009416667,0.000229229
0.009444444,0.000167278
0.009472222,0.000121829
0.0095,8.85538E-05
0.009527778,6.42398E-05
0.009555556,4.65096E-05
0.009583333,3.36065E-05
0.009611111,2.42352E-05
0.009638889,1.74427E-05
0.009666667,1.25291E-05
0.009694444,8.98193E-06
0.009722222,6.42631E-06
0.00975,4.58876E-06
0.009777778,3.27018E-06
0.009805556,2.32589E-06
0.009833333,1.65101E-06
