Time (s),Temperature (K)
0,501.9344436
2.77778E-05,501.9255043
5.55556E-05,501.9166063
8.33333E-05,501.9077494
0.000111111,501.8989334
0.000138889,501.8901582
0.000166667,501.8814235
0.000194444,501.8727292
0.000222222,501.8640751
0.00025,501.855461
0.000277778,501.8468866
0.000305556,501.8383519
0.000333333,501.8298567
0.000361111,501.8214006
0.000388889,501.8129837
0.000416667,501.8046057
0.000444444,501.7962663
0.000472222,501.7879656
0.0005,501.7797031
0.000527778,501.7714789
0.000555556,501.7632927
0.000583333,501.7551442
0.000611111,501.7470335
0.000638889,501.7389602
0.000666667,501.7309243
0.000694444,501.7229254
0.000722222,501.7149636
0.00075,501.7070385
0.000777778,501.69915
0.000805556,501.691298
0.000833333,501.6834823
0.000861111,501.6757027
0.000888889,501.6679591
0.000916667,501.6602512
0.000944444,501.652579
0.000972222,501.6449422
0.001,501.6373407
0.001027778,501.6297744
0.001055556,501.622243
0.001083333,501.6147464
0.001111111,501.6072844
0.001138889,501.599857
0.001166667,501.5924638
0.001194444,501.5851049
0.001222222,501.5777799
0.00125,501.5704888
0.001277778,501.5632314
0.001305556,501.5560076
0.001333333,501.5488171
0.001361111,501.5416599
0.001388889,501.5345358
0.001416667,501.5274447
0.001444444,501.5203864
0.001472222,501.5133607
0.0015,501.5063676
0.001527778,501.4994069
0.001555556,501.4924785
0.001583333,501.4855822
0.001611111,501.478718
0.001638889,501.4718857
0.001666667,501.4650853
0.001694444,501.4583167
0.001722222,501.4515798
0.00175,501.4448746
0.001777778,501.4382011
0.001805556,501.4315592
0.001833333,501.4249492
0.001861111,501.418371
0.001888889,501.4118249
0.001916667,501.405311
0.001944444,501.3988298
0.001972222,501.3923815
0.002,501.3859668
0.002027778,501.3795862
0.002055556,501.3732408
0.002083333,501.3669314
0.002111111,501.3606594
0.002138889,501.3544263
0.002166667,501.3482341
0.002194444,501.342085
0.002222222,501.3359818
0.00225,501.3299278
0.002277778,501.323927
0.002305556,501.317984
0.002333333,501.3121043
0.002361111,501.3062947
0.002388889,501.3005627
